x,y,z
7.740012333430879465e+00,2.848948765254668558e-01,2.411974783347746065e+00
8.207554717009385215e+00,3.445674233120606944e-01,2.334946991429557972e+00
8.667661912167618610e+00,4.269830715664374443e-01,2.141228997391310784e+00
9.049652849739111105e+00,5.079611469870790597e-01,1.917914890231017688e+00
9.322611110955710600e+00,5.646399780512876276e-01,1.764241937148349315e+00
9.501081287078143589e+00,5.822760692945969652e-01,1.760431092111579554e+00
9.634639830974847996e+00,5.585683038309745552e-01,1.941258937981376720e+00
9.785594061695206847e+00,5.041477103533298365e-01,2.283128301243550595e+00
1.000307020594160434e+01,4.391086425104363533e-01,2.709141893145039504e+00
1.030286191272304031e+01,3.867281718583314154e-01,3.110880282925342577e+00
1.066026648786085751e+01,3.664083656082794960e-01,3.380157823290538932e+00
1.101849074244260684e+01,3.880907785877834026e-01,3.440776324424805743e+00
1.130966836356615879e+01,4.498688016364950637e-01,3.270296294516861213e+00
1.148100787316960059e+01,5.394421921924815733e-01,2.905099431788331632e+00
1.151665041026588199e+01,6.387841806930676380e-01,2.427443781088109098e+00
1.144714561980599576e+01,7.303511948981568080e-01,1.939016057717383390e+00
1.134262166743170752e+01,8.027026846717624231e-01,1.529748566472368676e+00
1.129132787051962872e+01,8.536609502143071015e-01,1.251997841559650215e+00
1.137036101831205137e+01,8.900301585228882484e-01,1.108170881671955765e+00
1.161828830140104074e+01,9.241009940374818044e-01,1.055241541684871276e+00
1.201903202488216849e+01,9.682784881858694792e-01,1.023906111870946489e+00
1.250285669247485565e+01,1.029806797423738152e+00,9.453024380733883181e-01
1.296474423130100462e+01,1.107511057975669511e+00,7.758705663519442908e-01
1.329469837200900173e+01,1.191754213025710163e+00,5.118247386939218657e-01
1.339543338545835027e+01,1.692236773601196731e+00,2.513274122871834715e-01
1.326467758299267352e+01,1.741502898575590264e+00,-7.494738345070184327e-02
1.292119173345295380e+01,1.751833202116042987e+00,-3.413987400016533780e-01
1.244921627779155671e+01,1.726681376328597972e+00,-5.123741818920505287e-01
1.195919779202521482e+01,1.680770317308722728e+00,-5.916939564138183894e-01
1.155481749880503450e+01,1.636060700100440801e+00,-6.233148604670398774e-01
1.130315678637814614e+01,1.615037540849975084e+00,-6.767264010544966624e-01
1.121731836449073860e+01,1.633456601517196738e+00,-8.218636634402859409e-01
1.125661541411501076e+01,1.694932023647344854e+00,-1.102144772565988085e+00
1.134362462388216741e+01,1.789193241456392025e+00,-1.515140801329886155e+00
1.139191677124549251e+01,1.894669265683383230e+00,-2.008018233340575165e+00
1.133494751877291229e+01,1.984656001141234860e+00,-2.490025456185764430e+00
1.114649321992359887e+01,2.035151492849241350e+00,-2.858549361089863350e+00
1.084614004529698406e+01,2.031893860993581047e+00,-3.030582510171280664e+00
1.048858510475255912e+01,1.974390751844042224e+00,-2.969411758099296250e+00
1.014108336388022380e+01,1.875703973339129638e+00,-2.697681026523653269e+00
9.857376748030505453e+00,1.758125962419880617e+00,-2.292282691374825099e+00
9.657521670439939143e+00,1.646201841394535403e+00,-1.862388000449008096e+00
9.520840429711610042e+00,1.559378382677800934e+00,-1.517404114839603135e+00
9.394529761246195321e+00,1.506630473975252071e+00,-1.334928878394674445e+00
9.214888727423222292e+00,1.484711886820536897e+00,-1.338774441260253134e+00
8.933600605518170923e+00,1.480443170164609912e+00,-1.493847396501565949e+00
8.539587265404119165e+00,1.476103107829968231e+00,-1.719195955566431344e+00
8.068327985233956667e+00,1.455983000681901007e+00,-1.914678772915361371e+00
7.594752927033257883e+00,1.411828601355414436e+00,-1.992408308847690712e+00
7.211463875876294338e+00,1.345336795985982103e+00,-1.902779846573291689e+00
6.999183419228733882e+00,1.266933759134808213e+00,-1.646926890376169350e+00
6.999222286798456594e+00,1.191370949409088942e+00,-1.272129320206410785e+00
7.197368579889760198e+00,1.131784960898158277e+00,-8.524461091476137620e-01
7.525027476020676787e+00,1.094397232446562285e+00,-4.617130695390136985e-01
7.877838999848728818e+00,1.075799442983957244e+00,-1.484138638377777153e-01
8.146230073668240479e+00,1.063859876690108175e+00,7.896743107641379655e-02
8.248342463512319256e+00,1.042007976626153631e+00,2.513274122871832494e-01
8.154872468727985435e+00,9.954482754770842545e-01,4.236873934979527023e-01
7.897882643423590032e+00,9.171376667494550716e-01,6.510686884121439366e-01
7.560780424554576662e+00,8.113835029905025475e-01,9.643678941133795313e-01
7.252713485138152727e+00,6.936849248720786676e-01,1.355100933721979484e+00
7.075610754969247296e+00,5.866939604901773020e-01,1.774784144780776174e+00
7.094364815120246526e+00,5.134954294107496597e-01,2.149581714950535627e+00
7.319474133253670800e+00,4.903475709463400722e-01,2.405434671147657522e+00
7.707257293623987593e+00,5.212648387962144358e-01,2.495063133422057433e+00
8.176934873114030111e+00,5.962709589068502236e-01,2.417333597489729424e+00
8.638392343588849442e+00,6.939803791340365402e-01,2.221850780140798509e+00
9.021106359695657773e+00,7.877638009328640223e-01,1.996502221075933559e+00
9.294618884661890235e+00,8.535827051576845292e-01,1.841429265834620299e+00
9.474067096036879576e+00,8.770276391555098527e-01,1.837583702969041166e+00
9.609527354046800696e+00,8.573490888898520623e-01,2.020058939413968524e+00
9.763506618409957483e+00,8.072445911201560076e-01,2.365042825023377038e+00
9.984917278259052509e+00,7.485387088662048827e-01,2.794937515949189599e+00
1.028895119134045366e+01,7.052095936544102717e-01,3.200335851098019990e+00
1.065007792982333612e+01,6.960434104956522150e-01,3.472066582673662971e+00
1.101070006613904084e+01,7.292671650800960359e-01,3.533237334745647384e+00
1.130242723357251755e+01,8.008066748270455948e-01,3.361204185664230071e+00
1.147240317594506465e+01,8.965824361248978525e-01,2.992680280760132039e+00
1.150520384350474679e+01,9.979097497835814901e-01,2.510673057914944106e+00
1.143219806219027923e+01,1.088062282073907205e+00,2.017795625904252876e+00
1.132448059512574901e+01,1.157723799831931411e+00,1.604799597140356582e+00
1.127112981878468467e+01,1.207495079693495343e+00,1.324518488014654327e+00
1.134969083468366868e+01,1.246682619153161475e+00,1.179381225628863827e+00
1.159867341015983300e+01,1.288905415286704326e+00,1.125969685041406265e+00
1.200146818252387071e+01,1.346165722410872068e+00,1.094348780988186220e+00
1.248750945256617229e+01,1.423559685668562169e+00,1.015029006466417805e+00
1.295091193610288371e+01,1.516573573552214338e+00,8.440535645760215422e-01
1.328103750403116656e+01,1.612000788775601601e+00,5.776022080250684532e-01
1.336677140886228443e+01,2.117088608538671757e+00,3.141592653589793116e-01
1.323334351462517944e+01,2.162629147419635522e+00,-1.504947840503995105e-02
1.288661256389396037e+01,2.162161030396887895e+00,-2.838968350204322810e-01
1.241142510967057788e+01,2.121837136785771349e+00,-4.564097326591880499e-01
1.191869928771381382e+01,2.060005831452003555e+00,-5.364427712728547792e-01
1.151230102443936687e+01,2.002100322899126539e+00,-5.683480187391851679e-01
1.125916890075935051e+01,1.972922648346840280e+00,-6.222398498244874343e-01
1.117201757515033300e+01,1.988777672214735226e+00,-7.686822243122775067e-01
1.120970007536538127e+01,2.052020739939814042e+00,-1.051483694243116940e+00
1.129446093393034900e+01,2.149840250125142127e+00,-1.468193490969546877e+00
1.133982041925204953e+01,2.257742761501655870e+00,-1.965503005346584064e+00
1.127951527931915621e+01,2.346688340197335521e+00,-2.451844562803341177e+00
1.108785981293602063e+01,2.391640037800080165e+00,-2.823682330737930624e+00
1.078505856794705409e+01,2.378835577286259273e+00,-2.997262446746521647e+00
1.042628887673469507e+01,2.309511949827068644e+00,-2.935541631324124712e+00
1.007896302372953024e+01,2.198973441309716836e+00,-2.661367426167437600e+00
9.796572919881448627e+00,2.071405103470618236e+00,-2.252323643497852856e+00
9.598567431516585202e+00,1.952196206483651553e+00,-1.818563227433706242e+00
9.463476882206759200e+00,1.860303368323900530e+00,-1.470477156784409933e+00
9.337765033123982761e+00,1.803104207736744069e+00,-1.286361055440385481e+00
9.157292729836102652e+00,1.775306034172507541e+00,-1.290241198609825224e+00
8.873750527972042335e+00,1.762086133089125983e+00,-1.446708610293622410e+00
8.476527837789896935e+00,1.745221655959371621e+00,-1.674083562352054244e+00
8.001903171197684017e+00,1.709994920239874761e+00,-1.871324212158765210e+00
7.525704779404047251e+00,1.650456341390588388e+00,-1.949752712343008287e+00
7.141267262825532924e+00,1.571252067630525939e+00,-1.859318287568867856e+00
6.929668458608951198e+00,1.485455195593961886e+00,-1.601164634886387272e+00
6.932102484544107490e+00,1.409251758189221437e+00,-1.222996787252466966e+00
7.133820379739191253e+00,1.355439516049621762e+00,-7.995396753445320748e-01
